,Coefficient
vertical_drop,1.1522840630678692
trams,0.2064305868850114
fastEight,0.10688197761335588
fastSixes,0.33680743426254467
fastQuads,0.7748922330042686
quad,1.5507724585470253
triple,1.3363273693373054
double,0.32802251319215314
surface,1.2061855059176088
total_chairs,0.7110189350257607
Runs,1.305905216867847
TerrainParks,0.16000548308260792
LongestRun_mi,0.3188886685902781
SkiableTerrain_ac,0.44789722420080075
Snow Making_ac,0.5083322157145543
daysOpenLastYear,0.9796199080878244
yearsOpen,0.3019891060091688
averageSnowfall,2.1693036612808223
AdultWeekday,20.06754317907175
projectedDaysOpen,0.18958265415706116
NightSkiing_ac,0.4879797911194236
