,Coefficient,MAE,ExpVar
vertical_drop,1.3093353587070782,5.997050494832378,0.9142039162956501
trams,0.04686532608738723,5.997050494832378,0.9142039162956501
fastEight,0.17385363545097765,5.997050494832378,0.9142039162956501
fastSixes,0.778945988382314,5.997050494832378,0.9142039162956501
fastQuads,1.3200693814546192,5.997050494832378,0.9142039162956501
quad,1.3917130750093372,5.997050494832378,0.9142039162956501
triple,1.4277784398573887,5.997050494832378,0.9142039162956501
double,0.36834048390113977,5.997050494832378,0.9142039162956501
surface,1.2538852967274758,5.997050494832378,0.9142039162956501
total_chairs,0.977699115764397,5.997050494832378,0.9142039162956501
Runs,0.3122845165770994,5.997050494832378,0.9142039162956501
TerrainParks,0.18489031402696987,5.997050494832378,0.9142039162956501
LongestRun_mi,0.1513630762180033,5.997050494832378,0.9142039162956501
SkiableTerrain_ac,3.7263653611626233,5.997050494832378,0.9142039162956501
Snow Making_ac,0.4433371541673775,5.997050494832378,0.9142039162956501
daysOpenLastYear,1.3651183934389897,5.997050494832378,0.9142039162956501
yearsOpen,0.5374927604458992,5.997050494832378,0.9142039162956501
averageSnowfall,1.5032748902684019,5.997050494832378,0.9142039162956501
AdultWeekday,19.77699667768256,5.997050494832378,0.9142039162956501
projectedDaysOpen,0.6450328010693309,5.997050494832378,0.9142039162956501
NightSkiing_ac,0.7393888241132996,5.997050494832378,0.9142039162956501
